"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r2555","النصير","النصير","al-Naṣīr","ar","NA","1901-09-01","","geon:280134","الحدث","الحدث","al-Ḥadath","33.83333","35.53333","F","F"
"jaraid:t1r2222","المنارة","المنارة","al-Manāra","ar","NA","1901-09-14","","geon:3448439","Sao Paolo","سان باولو","Sao Paolo","-23.5475","-46.63611","T","F"
"jaraid:t1r1540","الجامعة الاسلامية","الجامعة الاسلامية","al-Jāmiʿa al-Islāmiyya","ar","NA","1901-10-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r1539","الكنيسة الارثوذكسية","الكنيسة الارثوذكسية","al-Kanīsa al-Urthūdhuksiyya","ar","NA","1901-10-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r875","تحرير سوريا","تحرير سوريا","Taḥrīr Sūriyā","ar","NA","1901-10-27","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2163","الفكاهة","الفكاهة","al-Fukāha","ar","NA","1901-11-01","","geon:5128581","New York City","نيويورك","New York City","40.71427","-74.00597","F","F"
"jaraid:t1r876","الصوت السارخ","الصوت السارخ","al-Ṣawt al-Sārikh","ar","NA","1901-11-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r2193","العدل","العدل","al-ʿAdl","ar","NA","1901-11-05","","geon:3451190","Rio de Janeiro","ريو دي جانيرو","Rio de Janeiro","-22.90642","-43.18223","F","F"
"jaraid:t1r3025","الحظ","الحظ","al-Ḥiẓẓ","ar","NA","1901-11-14","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","F","F"
"jaraid:t1r877","التمدن","التمدن","al-Tamaddun","ar","NA","1901-11-17","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r878","الابتسام","الابتسام","al-Ibtisām","ar","NA","1901-12-02","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r879","الحقيقة","الحقيقة","al-Ḥaqīqa","ar","NA","1901-12-05","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
